"Trophic
guild",Family,Species,Cyanobacteria,Green-Brown algae,POM,Red algae
invertivores-benthic,Labridae,Thalassoma hardwicke,"0.098
[0.035, 0.197]","0.51
[0.286, 0.684]","0.3
[0.131, 0.411]","0.067
[0.01, 0.412]"
invertivores-benthic,Labridae,Thalassoma lutescens,"0.098
[0.012, 0.307]","0.289
[0.061, 0.57]","0.343
[0.049, 0.545]","0.205
[0.015, 0.783]"
invertivores-benthic,Labridae,Thalassoma purpureum,"0.12
[0.011, 0.43]","0.241
[0.048, 0.52]","0.321
[0.049, 0.554]","0.215
[0.015, 0.824]"
invertivores-benthic,Labridae,Thalassoma quinquevittatum,"0.052
[0.006, 0.169]","0.3
[0.039, 0.728]","0.335
[0.023, 0.768]","0.195
[0.012, 0.819]"
invertivores-benthic,Labridae,Thalassoma trilobatum,"0.117
[0.012, 0.376]","0.293
[0.066, 0.579]","0.306
[0.044, 0.499]","0.204
[0.014, 0.769]"
invertivores-benthic,Mullidae,-,"0.059
[0.005, 0.205]","0.16
[0.029, 0.473]","0.045
[0.003, 0.22]","0.712
[0.289, 0.908]"
invertivores-benthic,Mullidae,Mulloidichthys flavolineatus,"0.037
[0.002, 0.255]","0.33
[0.051, 0.604]","0.015
[0.001, 0.074]","0.6
[0.336, 0.768]"
invertivores-benthic,Mullidae,Mulloidichthys vanicolensis,"0.074
[0.002, 0.306]","0.138
[0.025, 0.494]","0.037
[0.002, 0.238]","0.717
[0.19, 0.908]"
invertivores-benthic,Mullidae,Parupeneus barberinus,"0.047
[0.002, 0.283]","0.111
[0.013, 0.601]","0.042
[0.001, 0.337]","0.754
[0.118, 0.96]"
invertivores-benthic,Mullidae,Parupeneus ciliatus,"0.074
[0.002, 0.471]","0.164
[0.024, 0.665]","0.036
[0.002, 0.234]","0.647
[0.123, 0.915]"
invertivores-benthic,Mullidae,Parupeneus insularis,"0.029
[0.001, 0.132]","0.037
[0.005, 0.151]","0.036
[0.001, 0.18]","0.886
[0.622, 0.979]"
invertivores-benthic,Mullidae,Parupeneus multifasciatus,"0.04
[0.002, 0.159]","0.093
[0.009, 0.335]","0.029
[0.001, 0.204]","0.815
[0.439, 0.959]"
invertivores-benthic,Pempheridae,-,"0.075
[0.007, 0.377]","0.232
[0.024, 0.598]","0.296
[0.071, 0.734]","0.284
[0.018, 0.766]"
invertivores-benthic,Pempheridae,Pempheris oualensis,"0.072
[0.003, 0.285]","0.131
[0.012, 0.337]","0.471
[0.125, 0.687]","0.272
[0.012, 0.794]"
invertivores-benthic,Pinguipedidae,-,"0.097
[0.017, 0.365]","0.447
[0.122, 0.819]","0.168
[0.023, 0.486]","0.202
[0.015, 0.604]"
invertivores-benthic,Pinguipedidae,Parapercis millepunctata,"0.127
[0.021, 0.297]","0.567
[0.156, 0.823]","0.155
[0.015, 0.335]","0.129
[0.011, 0.469]"
invertivores-benthic,Syngnathidae,-,"0.082
[0.007, 0.366]","0.474
[0.066, 0.92]","0.135
[0.01, 0.499]","0.207
[0.015, 0.63]"
invertivores-benthic,Syngnathidae,Corythoichthys flavofasciatus,"0.12
[0.005, 0.452]","0.649
[0.049, 0.95]","0.086
[0.004, 0.389]","0.103
[0.008, 0.479]"
