"Trophic
guild",Family,Species,Cyanobacteria,Green-Brown algae,POM,Red algae
invertivores-sessile,Chaetodontidae,Chaetodon bennetti,"0.05
[0.012, 0.166]","0.365
[0.189, 0.587]","0.482
[0.275, 0.645]","0.078
[0.009, 0.267]"
invertivores-sessile,Chaetodontidae,Chaetodon citrinellus,"0.037
[0.016, 0.078]","0.715
[0.42, 0.833]","0.16
[0.081, 0.266]","0.074
[0.008, 0.391]"
invertivores-sessile,Chaetodontidae,Chaetodon ephippium,"0.031
[0.009, 0.091]","0.157
[0.059, 0.258]","0.73
[0.598, 0.828]","0.062
[0.006, 0.257]"
invertivores-sessile,Chaetodontidae,Chaetodon lunulatus,"0.072
[0.025, 0.137]","0.511
[0.37, 0.633]","0.344
[0.258, 0.431]","0.062
[0.009, 0.189]"
invertivores-sessile,Chaetodontidae,Chaetodon ornatissimus,"0.049
[0.014, 0.11]","0.351
[0.2, 0.48]","0.45
[0.326, 0.558]","0.144
[0.011, 0.354]"
invertivores-sessile,Chaetodontidae,Chaetodon pelewensis,"0.03
[0.009, 0.069]","0.332
[0.126, 0.53]","0.518
[0.345, 0.687]","0.095
[0.009, 0.36]"
invertivores-sessile,Chaetodontidae,Chaetodon quadrimaculatus,"0.045
[0.014, 0.099]","0.33
[0.168, 0.466]","0.502
[0.379, 0.61]","0.107
[0.009, 0.343]"
invertivores-sessile,Chaetodontidae,Chaetodon reticulatus,"0.061
[0.018, 0.123]","0.294
[0.144, 0.427]","0.513
[0.407, 0.605]","0.123
[0.011, 0.312]"
invertivores-sessile,Chaetodontidae,Chaetodon trifascialis,"0.066
[0.013, 0.185]","0.403
[0.223, 0.568]","0.429
[0.302, 0.545]","0.083
[0.01, 0.249]"
invertivores-sessile,Chaetodontidae,Chaetodon ulietensis,"0.053
[0.012, 0.153]","0.322
[0.199, 0.449]","0.525
[0.41, 0.63]","0.082
[0.01, 0.247]"
invertivores-sessile,Chaetodontidae,Chaetodon unimaculatus,"0.055
[0.017, 0.117]","0.401
[0.243, 0.532]","0.442
[0.332, 0.538]","0.092
[0.011, 0.283]"
invertivores-sessile,Chaetodontidae,Heniochus chrysostomus,"0.094
[0.02, 0.192]","0.423
[0.252, 0.572]","0.402
[0.308, 0.491]","0.073
[0.01, 0.21]"
invertivores-sessile,Monacanthidae,-,"0.06
[0.02, 0.164]","0.311
[0.134, 0.505]","0.509
[0.32, 0.701]","0.095
[0.011, 0.298]"
invertivores-sessile,Monacanthidae,Amanses scopas,"0.088
[0.019, 0.18]","0.28
[0.115, 0.432]","0.503
[0.378, 0.611]","0.116
[0.011, 0.335]"
invertivores-sessile,Tetraodontidae,-,"0.047
[0.011, 0.114]","0.287
[0.103, 0.465]","0.563
[0.39, 0.816]","0.076
[0.008, 0.229]"
invertivores-sessile,Tetraodontidae,Arothron meleagris,"0.027
[0.005, 0.08]","0.165
[0.086, 0.27]","0.751
[0.627, 0.85]","0.043
[0.005, 0.151]"
invertivores-sessile,Zanclidae,-,"0.054
[0.015, 0.153]","0.306
[0.116, 0.481]","0.529
[0.359, 0.75]","0.084
[0.01, 0.251]"
invertivores-sessile,Zanclidae,Zanclus cornutus,"0.053
[0.009, 0.18]","0.239
[0.118, 0.352]","0.613
[0.482, 0.712]","0.074
[0.007, 0.251]"
macrocarnivores,-,-,"0.037
[0.011, 0.098]","0.109
[0.025, 0.246]","0.423
[0.232, 0.625]","0.414
[0.229, 0.638]"
macrocarnivores,Apogonidae,-,"0.03
[0.002, 0.168]","0.075
[0.005, 0.349]","0.526
[0.142, 0.878]","0.301
[0.037, 0.767]"
macrocarnivores,Apogonidae,Cheilodipterus macrodon,"0.026
[0.001, 0.134]","0.058
[0.003, 0.243]","0.664
[0.242, 0.869]","0.213
[0.019, 0.695]"
macrocarnivores,Aulostomidae,-,"0.039
[0.003, 0.231]","0.096
[0.01, 0.367]","0.56
[0.222, 0.872]","0.236
[0.03, 0.63]"
macrocarnivores,Aulostomidae,Aulostomus chinensis,"0.045
[0.001, 0.219]","0.095
[0.007, 0.224]","0.714
[0.539, 0.863]","0.109
[0.016, 0.315]"
macrocarnivores,Belonidae,-,"0.031
[0.002, 0.244]","0.089
[0.006, 0.453]","0.427
[0.043, 0.854]","0.368
[0.048, 0.869]"
