id,year,type,species,tl,sl,weight,d15N,d13C
CH_AU_MO_03_16_003,2016,Fishes,Chaetodon auriga,5.8072,4.9468000000000005,4,8.11887189871495,-9.70362943843117
CH_AU_MO_03_16_004,2016,Fishes,Chaetodon auriga,4.5238,3.8786,2.2,7.9727807273638,-10.0356717869004
CH_CH_MO_03_16_001,2016,Fishes,Cheilinus chlorourus,15.7453,13.461400000000001,69.4,9.0510727063842,-9.84669591654973
CH_CH_MO_03_16_002,2016,Fishes,Cheilinus chlorourus,11.1441,9.466,22.7,8.92883315484548,-10.7478011966398
CH_CH_MO_03_16_003,2016,Fishes,Cheilinus chlorourus,9.681000000000001,8.4077,15.1,8.68336023427586,-10.7638161009068
CH_CH_MO_03_16_004,2016,Fishes,Cheilinus chlorourus,9.585899999999999,8.1282,20.9,8.44683167113591,-10.247068523224801
CH_CH_MO_03_16_005,2016,Fishes,Cheilinus chlorourus,8.6954,7.276000000000001,15.4,8.42198623383129,-10.2598804466384
CH_CH_MO_03_16_006,2016,Fishes,Cheilinus chlorourus,14.636099999999999,11.9476,49.3,9.00132931247685,-10.1398166208648
CH_CH_MO_03_16_007,2016,Fishes,Cheilinus chlorourus,12.345600000000001,10.3988,27.9,8.62759185762885,-9.52055865813742
CH_CH_MO_03_16_008,2016,Fishes,Cheilinus chlorourus,10.8289,8.9948,21.5,8.99438989023829,-10.4939812776301
CH_CH_MO_03_16_009,2016,Fishes,Cheilinus chlorourus,8.2914,6.9492,9.9,9.00331200454501,-11.4546794184366
CH_CH_MO_03_16_010,2016,Fishes,Cheilinus chlorourus,29.8773,22.9167,351.4,8.79810337549053,-8.63196589655259
CH_CI_MO_03_16_001,2016,Fishes,Chaetodon citrinellus,10.9453,9.2442,29,9.58211038785418,-7.9338424623312
CH_CI_MO_03_16_002,2016,Fishes,Chaetodon citrinellus,10.0748,8.567400000000001,23,8.85709407993234,-8.28203803960029
CH_CI_MO_03_16_003,2016,Fishes,Chaetodon citrinellus,9.082899999999999,7.8653,15,8.90271754116955,-8.58670916971074
CH_CI_MO_03_16_004,2016,Fishes,Chaetodon citrinellus,8.6076,7.324299999999999,12,8.72220732497014,-9.51704422772659
CH_CI_MO_03_16_005,2016,Fishes,Chaetodon citrinellus,7.2884,6.1857,9,8.1320777720105,-10.046954371883
CH_CI_MO_03_16_006,2016,Fishes,Chaetodon citrinellus,7.2311000000000005,6.1573,9,8.41176942568213,-10.0251921483037
CH_CI_MO_03_16_007,2016,Fishes,Chaetodon citrinellus,7.4343,6.5386,8,8.38300680881518,-9.64979379156043
CH_CI_MO_03_16_008,2016,Fishes,Chaetodon citrinellus,6.759600000000001,5.8593,7,8.3433342338263,-9.19931576346854
CH_CI_MO_03_16_009,2016,Fishes,Chaetodon citrinellus,6.9726,6.0694,6,8.3611868925713,-11.0697788801109
CH_CI_MO_03_16_010,2016,Fishes,Chaetodon citrinellus,6.424899999999999,5.5459000000000005,6,7.8940423220772,-9.12314798094093
CH_CI_MO_03_16_011,2016,Fishes,Chaetodon citrinellus,6.598699999999999,5.6738,6,8.22233288011021,-10.6356225197035
CH_CI_MO_03_16_012,2016,Fishes,Chaetodon citrinellus,6.5887,5.6107,6,8.38499043756463,-10.5964505172608
CH_CI_MO_03_16_013,2016,Fishes,Chaetodon citrinellus,6.308,5.5287,5,8.29671895821436,-9.62911967916007
CH_EP_MO_03_16_001,2016,Fishes,Chaetodon ephippium,15.651,13.7306,88,9.56044847569774,-13.6697990830556
CH_EP_MO_03_16_002,2016,Fishes,Chaetodon ephippium,4.2443,3.5148,1.7,8.2122178693495,-11.9954697625992
CH_IN_MO_03_16_001,2016,Fishes,Cheilio inermis,40.055099999999996,36.4423,431,10.8065704405358,-11.2489670130101
CH_IN_MO_03_16_002,2016,Fishes,Cheilio inermis,38.6234,34.9921,350,9.8638003621261,-10.2967518579943
CH_JO_MO_03_16_001,2016,Fishes,Pycnochromis iomelas,6.0366,4.434,3.1,11.4509453626875,-16.4660032743434
CH_JO_MO_03_16_002,2016,Fishes,Pycnochromis iomelas,5.081,4.1747,3,10.9423848472047,-16.2507475099022
CH_JO_MO_03_16_003,2016,Fishes,Pycnochromis iomelas,6.0668999999999995,4.4752,3.5,11.3706463339271,-16.4087431202556
CH_JO_MO_03_16_004,2016,Fishes,Pycnochromis iomelas,5.5587,4.1849,2.8,10.5141233604823,-16.5964291808768
CH_JO_MO_03_16_005,2016,Fishes,Pycnochromis iomelas,5.358700000000001,3.9826,2.7,11.208065584338,-16.126683842712
CH_JO_MO_03_16_006,2016,Fishes,Pycnochromis iomelas,5.6418,4.1099,2.8,11.2744857686214,-16.2857398262892
CH_JO_MO_03_16_007,2016,Fishes,Pycnochromis iomelas,4.7966999999999995,4.1676,3,10.9037223518756,-16.4564599153288
CH_JO_MO_03_16_008,2016,Fishes,Pycnochromis iomelas,4.6363,3.9396999999999998,2.4,10.0303464958515,-16.9548353305375
CH_PE_MO_03_16_001,2016,Fishes,Chaetodon pelewensis,8.6564,7.6009,13.6,10.2960272329848,-13.8309758130805
CH_SO_MO_03_16_001,2016,Fishes,Chlorurus spilurus,28.362000000000002,25.9925,409,5.50315091282503,-6.31151334639332
CH_SO_MO_03_16_002,2016,Fishes,Chlorurus spilurus,30.174599999999998,25.900299999999998,394.2,5.8414103928779,-7.81501438206064
CH_SO_MO_03_16_003,2016,Fishes,Chlorurus spilurus,25.7922,23.386699999999998,355.6,5.84339431944712,-6.86666858351782
CH_SO_MO_03_16_004,2016,Fishes,Chlorurus spilurus,28.0713,25.3911,271.2,9.16448739632978,-12.7613303335615
CH_SO_MO_03_16_005,2016,Fishes,Chlorurus spilurus,25.5861,22.9083,234.7,9.43628533631361,-12.8316571006444
CH_SO_MO_03_16_006,2016,Fishes,Chlorurus spilurus,24.1349,22.4819,242.5,5.64400969924001,-7.66050860589355
CH_SO_MO_03_16_007,2016,Fishes,Chlorurus spilurus,25.6479,23.3824,267.5,4.9764184086958,-6.69724500827253
CH_SO_MO_03_16_008,2016,Fishes,Chlorurus spilurus,25.9664,23.3969,263.2,7.53469171971144,-9.49752900666638
CH_SO_MO_03_16_009,2016,Fishes,Chlorurus spilurus,22.4684,20.7577,200,5.97433347301597,-8.50336425381194
CH_SO_MO_03_16_010,2016,Fishes,Chlorurus spilurus,20.0112,18.6285,147.8,6.29672154051504,-9.43679225327656
CH_SO_MO_03_16_011,2016,Fishes,Chlorurus spilurus,21.9362,20.5486,222.1,6.3969098322609,-10.0121930748643
CH_SO_MO_03_16_012,2016,Fishes,Chlorurus spilurus,20.6635,18.727600000000002,171,7.20932776235854,-10.4277603349
CH_SO_MO_03_16_013,2016,Fishes,Chlorurus spilurus,19.729499999999998,17.2927,137.9,7.02779848127445,-9.8321139288489
CH_SO_MO_03_16_014,2016,Fishes,Chlorurus spilurus,21.0155,19.2397,140.5,6.01500396768509,-8.36910406210813
CH_SO_MO_03_16_015,2016,Fishes,Chlorurus spilurus,18.8004,16.5775,132.5,5.56068478333256,-7.76386764236395
CH_SO_MO_03_16_016,2016,Fishes,Chlorurus spilurus,18.2632,16.537200000000002,99.5,6.6984666707831,-10.3116146135054
CH_SO_MO_03_16_017,2016,Fishes,Chlorurus spilurus,17.396,16.0864,104,6.2699385318305,-10.4043180792056
CH_SO_MO_03_16_018,2016,Fishes,Chlorurus spilurus,18.445,16.7702,96.9,7.06053326966666,-9.40162886973508
CH_SO_MO_03_16_019,2016,Fishes,Chlorurus spilurus,16.3703,14.8821,82,4.94765147344203,-6.77822734612563
CH_SO_TA_03_16_021,2016,Fishes,Chlorurus spilurus,29.056400000000004,24.4694,370.4,5.89841622580772,-6.13054546149458
CH_SO_TA_03_16_022,2016,Fishes,Chlorurus spilurus,25.7015,22.2518,321.9,5.63670087281071,-7.59280013718131
CH_SO_TA_03_16_023,2016,Fishes,Chlorurus spilurus,25.4762,22.8887,363.6,5.4384316659947904,-5.84212394460786
CH_SO_TA_03_16_025,2016,Fishes,Chlorurus spilurus,26.777800000000003,23.6079,326.5,5.16283746852066,-5.29921285399756
CH_SO_TA_03_16_026,2016,Fishes,Chlorurus spilurus,34.4108,30.2481,613.3,5.25106726555375,-6.57590221551085
CH_VA_MO_03_16_001,2016,Fishes,Chaetodon vagabundus,13.5421,11.6677,58,10.5656505644737,-8.39788091052819
CH_VA_MO_03_16_002,2016,Fishes,Chaetodon vagabundus,5.3224,4.6161,3.3,7.71836344936452,-9.21037038700748
CH_VA_MO_03_16_005,2016,Fishes,Chaetodon vagabundus,14.3714,12.2605,60,10.2595547768808,-7.69322512278005
CH_VA_MO_03_16_006,2016,Fishes,Chaetodon vagabundus,14.7406,12.5075,55.1,9.62152394689822,-7.44125729564587
CH_VA_MO_03_16_007,2016,Fishes,Chaetodon vagabundus,13.8328,11.6903,54,11.5609847724704,-11.5023962135098
CH_VI_MO_03_16_001,2016,Fishes,Chromis viridis,5.3639,4.3378,1.9,9.70411542315899,-14.3095847664634
CH_VI_MO_03_16_002,2016,Fishes,Chromis viridis,4.5084,3.4604999999999997,1.2,9.25178016537568,-13.8865586068887
CH_VI_MO_03_16_008,2016,Fishes,Chromis viridis,4.5015,3.3701,1.1,9.16547935961439,-13.8513952233472
CH_VI_MO_03_16_015,2016,Fishes,Chromis viridis,4.5851,3.5362999999999998,1.1,9.23888464267572,-13.6958238901031
CH_VI_MO_03_16_025,2016,Fishes,Chromis viridis,4.012700000000001,3.0819,1,9.29542654989863,-13.8513952233472
CHE_TR_MO_03_16_001,2016,Fishes,Cheilinus trilobatus,12.4665,10.428,34.1,8.65634089261715,-10.7654368229353
CHE_TR_MO_03_16_002,2016,Fishes,Cheilinus trilobatus,22.7796,19.4919,160.8,10.012502267238,-10.2967518579943
CHE_TR_MO_03_16_003,2016,Fishes,Cheilinus trilobatus,7.2324,6.0384,6.8,8.54332744473208,-11.3274346315748
CT_ST_MO_03_16_001,2016,Fishes,Ctenochaetus striatus,17.412,12.9091,78,7.46061944032365,-8.74013284594493
CT_ST_MO_03_16_002,2016,Fishes,Ctenochaetus striatus,16.04,11.7294,47,8.54863980939377,-9.98928447939779
CT_ST_MO_03_16_003,2016,Fishes,Ctenochaetus striatus,18.764599999999998,13.7803,87,8.71427280997236,-10.1699109351061
CT_ST_MO_03_16_004,2016,Fishes,Ctenochaetus striatus,17.6999,13.0087,74,8.51491812065322,-10.3113653883717
