id,year,species,family,tl,log_tl,sl,weight,trophic_guild,d13C_raw,d15N_raw,TP,TDF_source,deltaC_mean,deltaN_mean,d13C,d15N
SC_PS_MO_03_16_004,2016,Scarus psittacus,Scaridae,7.7285,2.044914794610236,6.533499999999999,8,microphages,-10.2310536189578,5.72079029007327,2.0851961769855856,Post,0.39,3.4,-10.654280127982178,2.0311232883222794
SC_PS_MO_03_16_005,2016,Scarus psittacus,Scaridae,7.3862,1.9996133943199224,6.614700000000001,6.4,microphages,-9.48582674039993,5.74563572737789,2.0851961769855856,Post,0.39,3.4,-9.909053249424307,2.0559687256268995
SC_PS_MO_03_16_006,2016,Scarus psittacus,Scaridae,7.4497,2.0081737631242964,6.3298000000000005,5.9,microphages,-9.98549175353043,6.16005762161891,2.0851961769855856,Post,0.39,3.4,-10.408718262554808,2.4703906198679193
SC_PS_MO_03_16_007,2016,Scarus psittacus,Scaridae,6.1714,1.819925716554405,5.3271,3.7,microphages,-10.4648712212561,6.17397106650949,2.0851961769855856,Post,0.39,3.4,-10.888097730280478,2.4843040647584993
SC_PS_MO_03_16_008,2016,Scarus psittacus,Scaridae,6.3116,1.8423892101793768,5.4996,4.7,microphages,-9.1548520522152,5.96526939315071,2.0851961769855856,Post,0.39,3.4,-9.578078561239577,2.2756023913997194
SC_PS_MO_03_16_009,2016,Scarus psittacus,Scaridae,6.469799999999999,1.8671451961339445,5.4767,5,microphages,-8.54094738864675,5.55382895138624,2.0851961769855856,Post,0.39,3.4,-8.964173897671127,1.8641619496352493
SC_PS_MO_03_16_010,2016,Scarus psittacus,Scaridae,6.7379999999999995,1.907763144984361,5.756600000000001,3.5,microphages,-10.0410100883227,6.1083791120253,2.0851961769855856,Post,0.39,3.4,-10.464236597347078,2.4187121102743094
SC_PS_MO_03_16_011,2016,Scarus psittacus,Scaridae,5.9789,1.788236604554016,5.0369,5,microphages,-10.0922577819771,5.97023848061163,2.0851961769855856,Post,0.39,3.4,-10.515484291001478,2.280571478860639
SC_PS_MO_03_16_012,2016,Scarus psittacus,Scaridae,5.3805,1.68278130665831,4.5804,NA,microphages,-9.05128900462191,6.02589226017397,2.0851961769855856,Post,0.39,3.4,-9.474515513646288,2.3362252584229792
MOO18_F054,2018,Chlorurus spilurus,Scaridae,18.5,2.917770732084279,15,155.5,microphages,-9.04090442496557,5.69584447833265,2.3209199839887855,Post,0.39,3.4,-9.556063218721196,1.2047165327707798
MOO18_F099,2018,Chlorurus spilurus,Scaridae,23.7,3.1654750481410856,18.9,250.9,microphages,-11.4079547669829,6.71197744109459,2.3209199839887855,Post,0.39,3.4,-11.923113560738527,2.22084949553272
MOO18_F131,2018,Scarus psittacus,Scaridae,21.7,3.077312260546414,16.2,182.2,microphages,-11.9343952621476,6.09279309640918,2.0851961769855856,Post,0.39,3.4,-12.357621771171978,2.4031260946581887
MOO18_F133,2018,Scarus globiceps,Scaridae,19.6,2.975529566236472,16.9,137,microphages,-7.44303530965914,5.01033676305908,2.0732833705368825,Post,0.39,3.4,-7.861615824168524,1.361173303233679
MOO18_F317,2018,Chlorurus spilurus,Scaridae,23.7,3.1654750481410856,18.2,293.2,microphages,-11.1285153009105,6.71397675377504,2.3209199839887855,Post,0.39,3.4,-11.643674094666126,2.22284880821317
MOO18_F408,2018,Chlorurus spilurus,Scaridae,18.7,2.928523523860541,15.5,133.7,microphages,-8.77611023418708,5.18392883863781,2.3209199839887855,Post,0.39,3.4,-9.291269027942706,0.6928008930759395
MOO18_F495,2018,Calotomus carolinus,Scaridae,38.6,3.653252276470785,29.5,NA,microphages,-13.8479751325165,7.23803612263585,2.499287802043463,Post,0.39,3.4,-14.43269737531345,2.1404575956880763
MOO18_F497,2018,Calotomus carolinus,Scaridae,41,3.713572066704308,34.4,NA,microphages,-14.0451816440669,7.16075768311184,2.499287802043463,Post,0.39,3.4,-14.62990388686385,2.0631791561640664
MOO18_F500,2018,Scarus schlegeli,Scaridae,27.1,3.299533727885655,23.5,NA,microphages,-14.4455405921391,6.46341176454998,2.2448581401378496,Post,0.39,3.4,-14.931035266792861,2.230894088081291
MOO18_F502,2018,Scarus schlegeli,Scaridae,27.9,3.32862668882732,21.3,NA,microphages,-13.5080664216532,6.41189280486731,2.2448581401378496,Post,0.39,3.4,-13.993561096306962,2.179375128398621
MOO18_F511,2018,Scarus schlegeli,Scaridae,30.1,3.40452517175483,24.2,NA,microphages,-15.3166186004447,7.71458649970055,2.2448581401378496,Post,0.39,3.4,-15.802113275098462,3.4820688232318613
MOO18_F531,2018,Scarus schlegeli,Scaridae,30,3.4011973816621555,23.3,490,microphages,-13.3534723723976,6.64188816059352,2.2448581401378496,Post,0.39,3.4,-13.838967047051362,2.409370484124831
MOO18_F532,2018,Scarus forsteni,Scaridae,26.1,3.261935314328648,20.5,352.1,microphages,-13.550678883948,7.01632059971578,2.6194846430720213,Post,0.39,3.4,-14.18227789474609,1.5100728132709076
MOO18_F533,2018,Calotomus carolinus,Scaridae,26.1,3.261935314328648,19.5,284.1,microphages,-15.6634642237745,7.70630666689441,2.499287802043463,Post,0.39,3.4,-16.24818646657145,2.6087281399466358
MOO18_F552,2018,Chlorurus microrhinos,Scaridae,36,3.58351893845611,27.2,764,microphages,-15.7229234734882,7.56278956492125,2.447381540671062,Post,0.39,3.4,-16.287402274349915,2.641692326639639
MOO18_F553,2018,Calotomus carolinus,Scaridae,31.1,3.4372078191851885,24.8,538,microphages,-16.2808494333017,8.11477841866415,2.499287802043463,Post,0.39,3.4,-16.86557167609865,3.017199891716376
MOO18_F554,2018,Calotomus carolinus,Scaridae,30.2,3.407841924380824,22.4,558,microphages,-15.8458059228965,8.84984357556511,2.499287802043463,Post,0.39,3.4,-16.43052816569345,3.7522650486173363
MOO18_F600,2018,Scarus forsteni,Scaridae,38.2,3.6428355156125294,27.5,733,microphages,-13.4086059401529,9.1377085900789,2.6194846430720213,Post,0.39,3.4,-14.040204950950988,3.6314608036340275
MOO18_F620,2018,Calotomus carolinus,Scaridae,38.4,3.648057459593681,29.8,1180,microphages,-15.4945067947459,8.46211589149742,2.499287802043463,Post,0.39,3.4,-16.079229037542852,3.364537364549647
MOO18_F642,2018,Scarus forsteni,Scaridae,31.5,3.449987545831587,22.4,365.4,microphages,-11.5109881967259,8.2215857250521,2.6194846430720213,Post,0.39,3.4,-12.14258720752399,2.7153379386072274
MOO18_F652,2018,Scarus forsteni,Scaridae,24.6,3.202746442938317,19.4,255.3,microphages,-13.4667666917696,9.49610812095758,2.6194846430720213,Post,0.39,3.4,-14.098365702567689,3.9898603345127075
MOO18_F653,2018,Calotomus carolinus,Scaridae,37.2,3.616308761279101,28,1023,microphages,-12.9600781098884,7.79706435558884,2.499287802043463,Post,0.39,3.4,-13.54480035268535,2.699485828641066
MOO18_F686,2018,Scarus rubroviolaceus,Scaridae,41.5,3.7256934272366524,39.4,1047,microphages,-13.2903128860172,8.61352531898093,2.626261865051834,Post,0.39,3.4,-13.924555013387415,3.0842349778046936
MOO19_F726,2019,Scarus forsteni,Scaridae,36.2,3.5890591188317256,25.9,585,microphages,-11.86,7.53,2.6194846430720213,Post,0.39,3.4,-12.491599010798089,2.0237522135551282
